File,Slab Thickness (Å),Min Distance (Å),Final c (Å),Status
LLZO_010_Li_order0_off.cif,18.19,1.81,48.19,Success
LLZO_110_O_order2_off.cif,27.72,1.82,57.72,Success
LLZO_010_Li_order1_off.cif,17.22,1.84,47.22,Success
LLZO_110_Li_order17_off.cif,27.2,1.81,57.2,Success
LLZO_010_Li_order7_off.cif,18.32,1.82,48.32,Success
LLZO_110_O_order4_off.cif,26.41,1.86,56.41,Success
LLZO_010_Li_order4_off.cif,17.35,1.83,47.35,Success
LLZO_010_La_order0_off.cif,19.81,1.85,49.81,Success
LLZO_011_La_code71_sto.cif,27.13,1.79,57.13,Success
LLZO_110_Li_order0_off.cif,27.75,1.81,57.75,Success
LLZO_010_O_order5_off.cif,19.22,1.81,49.22,Success
LLZO_001_Zr_code93_sto.cif,20.4,1.78,50.4,Success
LLZO_021_Li_order3_off.cif,10.64,1.77,40.64,Success
LLZO_031_Li__sto.cif,18.42,1.75,48.42,Success
LLZO_110_Zr_code95_sto.cif,28.58,1.82,58.58,Success
LLZO_010_Li_order8_off.cif,17.23,1.83,47.23,Success
LLZO_110_Li_order11_off.cif,27.25,1.81,57.25,Success
